,f11,f12,f13,f14,f15,f16,f18,f23,f24,f25,f26,f27,f28
0,0.041786217,1.108500183,0.637267128,18.11843045,51.58127186,0.204305878,0.437662182,0.005986068,0.11684008,0.368639646,0.419643311,2,1
1,0.083319553,1.119634218,3.783785062,75.97814857,217.2011301,0.250352229,0.39730767,0.008554027,0.138321135,0.357092445,0.423255339,2,0
2,0.013299628,0.185178585,0.396851669,7.822576292,17.37053958,0.101969605,0.612340249,0.008094883,0.145656507,0.247433974,0.684070649,2,4
3,0.184672533,3.080846661,21.43338258,226.3416101,1871.460332,0.283018603,0.440480659,0.011916495,0.134958719,0.395277377,0.430336305,2,1
4,0.018038262,0.379548285,1.346517465,23.92334472,57.52401794,0.204370936,0.345314189,0.009089658,0.148249631,0.329160994,0.52068762,5,4
5,0.030992906,1.472923355,1.594012123,38.73431899,92.55402387,0.218131828,0.557704386,0.006713295,0.141748365,0.374184165,0.498222311,3,3
6,0.009762629,1.510550947,11.54063395,130.1163022,1305.657296,0.110708136,0.351946132,0.01332056,0.164872696,0.43823519,0.413414068,0,0
7,0.047441216,7.462304639,1.537946352,27.89735576,90.89871049,0.349203165,0.394357694,0.011206403,0.13871844,0.360081131,0.417280391,4,6
8,0.019258403,1.159283292,4.838849573,56.5849674,161.5341223,0.167841009,0.395624693,0.010525946,0.122840451,0.293858504,0.483299309,5,6
9,0.019549728,0.642769069,3.081205775,58.14782943,200.8262742,0.230520291,0.318493685,0.008446013,0.162512601,0.265382186,0.710645713,0,0
10,0.020214403,0.284823237,0.76099284,17.97685292,32.01569233,0.183423464,0.428465663,0.010696406,0.186766792,0.290219141,0.70188597,2,2
11,0.045018956,0.938622079,2.09969,38.53702094,107.7124954,0.252923188,0.434635104,0.008272671,0.150357926,0.374287374,0.449448945,1,1
12,0.073696552,2.76870668,4.178291089,52.71165139,207.3728074,0.340865974,0.644069854,0.007865821,0.119990347,0.397935586,0.419813095,4,2
13,0.020252737,1.813553877,4.024639656,61.33246431,143.1520196,0.302094235,0.720413562,0.008393068,0.142484617,0.36719257,0.530811486,0,1
14,0.064769003,5.25337122,1.99256073,33.77517819,80.23031406,0.292551154,0.353888434,0.010756965,0.152039523,0.446067545,0.36907812,1,1
15,0.044529287,0.88855694,9.122554153,139.7391992,484.9384252,0.282681241,0.384906283,0.011560999,0.179597904,0.307442192,0.656278864,0,2
16,0.03586331,1.265278529,4.722414288,94.83415142,276.9369518,0.189370781,0.373098347,0.007794407,0.154571812,0.38562479,0.448829618,2,1
17,0.036649018,0.570940041,2.335798186,46.44223675,256.7923392,0.245642048,0.393503397,0.010365633,0.147017732,0.273315571,0.633337688,3,3
18,0.025721862,3.113374719,8.966441089,108.9583447,883.3600515,0.225198124,0.288528856,0.009924829,0.154177213,0.321088614,0.577698643,5,4
19,0.023936082,0.497280469,0.938366858,14.81684684,42.55750138,0.172377939,0.520945493,0.007258251,0.139178559,0.376173481,0.455791708,3,3
20,0.027352122,1.121815847,3.011872273,42.88064198,223.5758399,0.153403339,0.615763289,0.007437849,0.131492508,0.41463162,0.366456568,1,1
21,0.0195667,0.681155385,1.615529348,28.85121021,84.42283047,0.122971426,0.412298797,0.006167342,0.133737091,0.351645163,0.417444317,0,0
22,0.023335525,1.373261076,4.88218582,53.84275416,205.7443668,0.165787513,0.425869814,0.010648591,0.123588652,0.341697764,0.424478082,4,3
23,0.020315497,0.369338048,1.661780815,27.14561596,123.1821945,0.152476627,0.310298823,0.009107944,0.140283722,0.41383644,0.361287231,3,5
24,0.025715197,0.564345998,3.159930666,43.88038245,181.5771243,0.192433411,0.563038028,0.011870844,0.160959725,0.273324357,0.686917112,4,4
25,0.03345569,1.163735473,2.680372921,45.12882847,209.2288456,0.133447061,0.373707577,0.006865484,0.131639366,0.374061305,0.385012575,2,3
26,0.032726327,0.615511261,5.52034826,98.5894964,328.5118194,0.270486433,0.546779298,0.009491812,0.1439807,0.324574796,0.528656219,6,4
27,0.016791281,0.54235201,0.844075539,14.0427706,61.65670678,0.071916331,0.519503853,0.005213128,0.09549619,0.405366008,0.277920638,6,2
28,0.161398179,1.291647151,10.79003904,125.5147372,739.6503473,0.307253996,0.576373324,0.009969921,0.124268083,0.319261378,0.467339883,3,3
29,0.026482158,0.827677873,1.50344725,26.12380199,78.64059916,0.151875656,0.366776322,0.008978555,0.153877133,0.312710478,0.536167196,2,4
30,0.022373276,0.372478622,1.482661447,37.19234231,166.4159455,0.191655402,0.372111699,0.007029542,0.146593634,0.361080184,0.517003673,3,3
31,0.012300942,0.199753391,1.00352033,22.4540297,37.90922494,0.143515484,0.37808994,0.007059757,0.138573891,0.347286055,0.561106892,2,2
32,0.026989875,0.453722433,5.192088856,87.74722973,257.9625066,0.157851647,0.362976726,0.010280691,0.145208123,0.429160158,0.403825648,0,5
33,0.034544665,1.877632378,0.799348395,16.21444769,64.21194023,0.158894659,0.633392342,0.00841371,0.139973087,0.420490008,0.361444527,2,3
34,0.010508926,0.528661856,1.263271857,21.35385224,69.94538441,0.060093306,0.473001645,0.006268023,0.126580892,0.45107289,0.301610491,3,0
35,0.011784422,0.187789573,0.375844997,7.65959256,16.10470832,0.103788915,0.382550569,0.007673213,0.146649339,0.337030022,0.529098975,3,5
36,0.049245346,1.325985219,7.135546416,67.8237357,359.2628212,0.14551974,0.307386194,0.011757392,0.097243839,0.47333483,0.232357091,5,5
37,0.063229509,0.576534699,1.917024467,29.9401463,111.3298306,0.165242701,0.439750428,0.007234643,0.128939354,0.378768697,0.40802636,0,2
38,0.032678792,1.96978777,3.34131487,61.79294296,139.8324133,0.297319328,0.493246308,0.007802251,0.139015169,0.261561737,0.701877633,0,0
39,0.017792464,0.257558972,3.766225036,45.80962046,195.8020579,0.080707042,0.5592503,0.008334401,0.101993168,0.476151465,0.283176119,5,0
40,0.008196229,0.147754137,0.492959448,9.172162874,52.93283729,0.11811231,0.475348042,0.004835257,0.114186817,0.254120558,0.523176381,1,3
41,0.058322559,1.363454217,3.406156282,57.54343965,179.6388815,0.304866474,0.46343049,0.008977713,0.131841307,0.293533052,0.534866865,2,2
42,0.018501644,0.353591402,6.626708442,69.69408363,236.0323342,0.10600976,0.300733574,0.0116008,0.121414862,0.428821058,0.305349818,6,6
43,0.030018903,1.424318407,1.152492923,28.61348951,127.8704183,0.247955703,0.458979595,0.006520783,0.137151508,0.315100567,0.50441424,4,1
44,0.035049193,0.585731037,14.634247,55.52895561,118.6907286,0.186683904,0.347256209,0.008586028,0.170088822,0.377273852,0.502355506,4,4
45,0.031950619,0.687222882,3.993030058,60.60101758,251.8308927,0.206199722,0.394790109,0.009063388,0.166920472,0.449421723,0.41018496,3,3
46,0.02946846,2.134896513,7.018358831,106.0247683,302.4005544,0.278469581,0.281952526,0.010747447,0.169534373,0.36334571,0.513682535,1,1
47,0.02494442,0.779449197,3.722903663,73.63957846,225.7445419,0.211541611,0.44420897,0.007723398,0.143062344,0.352588748,0.477762442,1,2
48,0.02071985,6.956461179,3.249345983,59.47234009,87.69227651,0.45395807,0.271229978,0.009069512,0.189034957,0.236351081,0.853416978,1,2
49,0.037218001,0.590136399,6.417883805,103.8386312,423.2683548,0.339932973,0.54422276,0.010616962,0.136808333,0.37359303,0.441459181,4,4
50,0.051591939,0.573937263,2.60830092,50.81708386,97.62356675,0.296604499,0.524167839,0.009248153,0.146981439,0.23988842,0.714620616,1,2
51,0.036804442,1.603101577,19.18445848,216.3751598,1359.554369,0.268071422,0.449845048,0.010256028,0.132703121,0.265178133,0.59242651,3,5
52,0.080603605,3.032912928,10.23793674,115.9882001,812.7168679,0.151177744,0.460608045,0.01005844,0.132940129,0.356295795,0.439808907,4,4
53,0.040458367,0.712957232,2.961205185,59.47039841,201.1551206,0.273563481,0.473691381,0.0065419,0.123076591,0.315940256,0.437925572,3,2
54,0.116078909,0.919805564,5.814020524,59.74768906,118.2218505,0.349911911,0.399611477,0.009754955,0.139245568,0.311240827,0.479798743,5,4
55,0.038433649,1.012055935,1.530320293,29.84289014,111.5015766,0.25899093,0.426348888,0.00874226,0.159547026,0.404120189,0.469755021,2,3
56,0.020475563,0.335308638,0.531647224,14.41199556,28.88583108,0.220414738,0.419963946,0.006495291,0.141132994,0.382239359,0.472582278,2,2
57,0.011340807,0.180113553,0.508896139,9.244052383,21.07577757,0.102548054,0.415761625,0.007327481,0.126691409,0.327501804,0.590936297,5,4
58,0.058419997,0.678100556,24.37306918,158.7439554,369.6289241,0.354573896,0.283027458,0.011545356,0.114935756,0.303901794,0.424067573,4,5
59,0.02098938,0.405483337,2.712683769,36.1671559,142.62197,0.143277726,0.622066256,0.006665999,0.09805285,0.318418061,0.499923878,3,5
60,0.038756224,0.696122455,1.0598818,23.11131187,126.9370183,0.148391961,0.364535213,0.007588906,0.148448873,0.459784905,0.355888766,0,1
61,0.029922969,4.264918313,4.729973392,73.22178012,331.5707527,0.19872168,0.298488777,0.007273731,0.107979225,0.421936702,0.277496011,5,5
62,0.016922705,0.398179791,1.121076354,27.03902464,115.388916,0.192522329,0.405329176,0.008191069,0.161145615,0.307973278,0.590995654,3,4
63,0.033237111,0.976864363,3.256642693,62.64524842,205.5362971,0.21420154,0.348646294,0.008198744,0.151299298,0.30733058,0.59322465,2,4
64,0.041280815,2.33957183,1.479652635,27.53766064,55.57737011,0.279850491,0.576799179,0.007943937,0.142796495,0.256532761,0.655197353,0,0
65,0.010497193,0.191446052,0.439799755,10.26783794,15.68819767,0.145274776,0.282384707,0.007541668,0.148167393,0.305421453,0.599335412,2,2
66,0.015440628,0.390514484,2.974448159,48.2994069,91.93139018,0.196947863,0.464453729,0.008699546,0.138789506,0.322123287,0.506044636,1,5
67,0.027680549,0.939808121,2.527189256,41.87728121,79.53400906,0.242034582,0.326426962,0.010655906,0.14652671,0.2469215,0.665000298,3,3
68,0.046085497,0.648075769,1.233470232,34.87672678,121.7131085,0.293621529,0.327178728,0.006735886,0.145422273,0.361702169,0.444525693,2,1
69,0.094998966,2.795830857,4.485974886,82.30034899,576.5446302,0.251800543,0.446049274,0.008888018,0.13836761,0.326988968,0.505717022,2,4
70,0.01901223,2.397481094,7.481844886,81.11372763,269.114634,0.110460158,0.79246309,0.006889941,0.125145003,0.416278776,0.323731383,3,4
71,0.033564565,1.961361015,3.085507263,34.04173556,546.7689991,0.288055869,0.355407899,0.011550656,0.122285623,0.387525853,0.353628896,5,5
72,0.020895726,0.364134592,2.171865037,34.26973303,367.3076462,0.176373225,0.388897887,0.008770723,0.12413064,0.308764852,0.455998314,5,0
73,0.026233942,0.474584373,3.095101013,44.13240184,224.7675642,0.173497408,0.362878178,0.007801366,0.12379002,0.423662543,0.355256664,1,3
74,0.02331182,0.665295897,9.936297636,71.66720619,229.0065546,0.156023704,0.540841434,0.011217064,0.143557146,0.438198045,0.416713386,0,0
75,0.025132867,0.424631903,8.861031006,107.2411098,429.8440723,0.13819285,0.467906849,0.007322446,0.116134992,0.349340104,0.390294226,4,4
76,0.044640257,1.292734474,2.109781035,31.71233379,255.5591061,0.379054727,0.332722287,0.006719875,0.101758209,0.292699707,0.393065683,4,0
77,0.036463148,1.455292296,3.130356564,46.68958572,100.531206,0.255141707,1.017701913,0.009087884,0.132752015,0.394340904,0.39329367,1,1
78,0.033587764,0.733148012,2.329428252,39.67162504,135.4062351,0.158500396,0.357291086,0.007440189,0.122319302,0.424111445,0.337954749,1,3
79,0.050265168,0.816247704,2.801162776,51.56906698,359.7784101,0.163352213,0.414202027,0.006396735,0.120587244,0.423464924,0.331133596,3,3
80,0.033478596,2.307860114,8.179126297,174.9831887,535.9565825,0.337536734,0.376880451,0.010656611,0.174857399,0.319995093,0.635232535,3,4
81,0.025639035,0.605770915,6.32292906,87.45305898,350.0170855,0.182350705,0.376900965,0.011158531,0.129313214,0.455232512,0.344363998,0,3
82,0.005997396,0.623346155,2.301178122,41.31021836,50.5399926,0.171817719,0.530600753,0.006143208,0.138848361,0.270930489,0.555743558,1,0
83,0.006837207,0.451326835,2.604877774,50.11564432,69.62802803,0.229589169,0.533166565,0.007701955,0.156380258,0.248322338,0.705348866,1,0
84,0.036187714,0.596196106,2.784449723,45.31436248,101.2637247,0.395471638,0.395561711,0.008047684,0.134100081,0.242904633,0.699314194,3,2
85,0.031567322,0.822196973,3.115466588,55.82456137,134.4513324,0.260981174,0.407894845,0.008420888,0.150057161,0.293124863,0.61174858,1,3
86,0.007299173,1.639389611,7.835316721,121.9623393,196.0346528,0.572828118,0.320818752,0.010621638,0.130933663,0.302575264,0.477746125,5,5
87,0.007050165,0.822759989,2.927069802,41.54733566,89.8676827,0.13032467,0.479571542,0.010474522,0.144581469,0.379842213,0.442240305,0,4
88,0.023160962,1.235046328,3.454122364,56.79481834,281.1238066,0.087152513,0.523296633,0.006291766,0.112935023,0.443518765,0.310207762,3,1
89,0.011766177,0.289659144,1.362044718,22.87827997,58.43197403,0.128129585,0.46055514,0.009856669,0.155494841,0.334288483,0.526298658,5,4
90,0.03567177,1.894709601,4.338010851,62.88090236,234.9870576,0.164349599,0.379828917,0.010272561,0.149085987,0.401406584,0.431810732,3,6
91,0.006477467,0.141323792,0.299995172,7.43489575,14.89976782,0.083536647,0.398629198,0.006089061,0.136197022,0.332281204,0.483145237,2,4
92,0.1130609,4.940545994,15.92359873,182.4027764,689.3453308,0.197632253,0.757061387,0.006762063,0.100319751,0.556652267,0.222799378,5,2
93,0.039272543,1.824652558,4.48280778,64.00206933,157.2984776,0.356497361,0.37127413,0.009972434,0.153480926,0.254989912,0.675829041,1,1
94,0.063380112,3.991554179,8.497266823,165.8183836,225.3170989,0.655681034,0.364888755,0.011377267,0.171515157,0.290467068,0.625572194,5,2
95,0.016999681,0.420477666,4.603645606,75.8751971,139.0709828,0.156607701,0.371390183,0.0062842,0.134062507,0.325867975,0.427626037,2,1
96,0.019183474,0.728449768,2.468232156,43.1387084,96.38453244,0.176218762,0.377252203,0.008793625,0.159999497,0.330044725,0.582518003,2,2
97,0.031820905,1.264304279,2.938791321,46.14089755,140.743679,0.15925955,0.374753321,0.006676045,0.108357633,0.464186641,0.283496593,5,3
98,0.01175956,0.151100897,0.637524407,13.33438442,70.46430613,0.110872762,0.371750587,0.004943331,0.122281005,0.354011957,0.391103076,2,1
99,0.031790985,0.573318983,1.149208073,19.72387098,46.26211488,0.148577686,0.590573562,0.007681627,0.135378085,0.431030819,0.343367115,0,2
100,0.025321965,0.54842265,4.47058943,88.34613541,246.6059142,0.23912454,0.312488498,0.008659773,0.160789733,0.309064592,0.623985415,0,0
101,0.072247318,0.670471317,4.542562231,53.44854514,111.7748753,0.300993782,0.423513971,0.011596958,0.149474226,0.253236349,0.695833049,0,1
102,0.028706469,1.081840328,31.23908134,391.8857563,1037.709824,0.398116502,0.608376103,0.010431254,0.15050873,0.318813861,0.530471424,3,4
103,0.04064872,4.79722476,2.116880764,42.14086184,73.73170969,0.421402092,0.323559473,0.010786179,0.15923043,0.294472945,0.601660191,5,4
104,0.006961982,0.14084507,0.322199047,6.494060877,12.55708972,0.096389274,0.363803008,0.007400799,0.15110635,0.227829786,0.721358293,2,3
105,0.025962713,1.0969739,2.802411701,38.3374773,130.6367687,0.198148849,0.364214762,0.010516533,0.144493851,0.387432739,0.410720346,2,3
106,0.018742157,0.581459867,4.536642721,69.80689735,198.7793606,0.268174892,0.437923129,0.009747463,0.133222866,0.246925337,0.598737499,7,5
107,0.012039223,1.407205912,3.377728384,56.72983062,114.3578612,0.244510008,0.339234471,0.010535468,0.154837361,0.235079638,0.727417898,3,4
108,0.024700894,2.688351388,7.64095383,139.1213243,414.9255276,0.185260037,0.307004587,0.008096238,0.136913368,0.415266264,0.347348421,2,0
