Manga,Prediction 1,Prediction 2,Prediction 3
AisazuNihaIrarenai,MariaSamaNihaNaisyo,TsubasaNoKioku,JangiriPonpon
AkkeraKanjinchou,DollGun,MukoukizuNoChonbo,Count3DeKimeteAgeru
Akuhamu,ShimatteIkouze_vol26,HighschoolKimengumi_vol20,HeiseiJimen
AosugiruHaru,That'sIzumiko,MadouTaiga,AkkeraKanjinchou
AppareKappore,TapkunNoTanteisitsu,TouyouKidan,JijiBabaFight
Arisa,YumeiroCooking,OhWareraRettouSeitokai,MadouTaiga
ARMS,EvaLady,Jyovolley,UchiNoNyan'sDiary
BakuretsuKungFuGirl,MeteoSanStrikeDesu,HaruichibanNoFukukoro,HealingPlanet
Belmondo,LoveHina_vol14,KuroidoGanka,TennenSenshiG
BEMADER_P,MisutenaideDaisy,SeisinkiVulnus,RisingGirl
BokuHaSitatakaKun,UchuKigekiM774,HighschoolKimengumi_vol01,MoeruOnisan_vol19
BurariTessenTorimonocho,ShimatteIkouze_vol01,RisingGirl,BEMADER_P
ByebyeC-BOY,SonokiDeABC,TensiNoHaneToAkumaNoShippo,WarewareHaOniDearu
Count3DeKimeteAgeru,DollGun,AkkeraKanjinchou,YasasiiAkuma
DollGun,AkkeraKanjinchou,Count3DeKimeteAgeru,MukoukizuNoChonbo
Donburakokko,Saisoku,YumeNoKayoiji,PrismHeart
DualJustice,GOOD_KISS_Ver2,TensiNoHaneToAkumaNoShippo,Ningyoushi
EienNoWith,KarappoHighschool,TotteokiNoABC,Joouari
EvaLady,ARMS,UchiNoNyan'sDiary,Jyovolley
EverydayOsakanaChan,YouchienBoueigumi,NichijouSoup,OL_Lunch
GakuenNoise,Raphael,UnbalanceTokyo,MisutenaideDaisy
GarakutayaManta,TouyouKidan,HeiseiJimen,TapkunNoTanteisitsu
GinNoChimera,MagicianLoad,YoumaKourin,Hamlet
GOOD_KISS_Ver2,Ningyoushi,DualJustice,PrayerHaNemurenai
Hamlet,YoumaKourin,HarukaRefrain,UltraEleven
HanzaiKousyouninMinegishiEitarou,ToutaMairimasu,PsychoStaff,Arisa
HaruichibanNoFukukoro,MeteoSanStrikeDesu,BakuretsuKungFuGirl,HealingPlanet
HarukaRefrain,UltraEleven,Hamlet,YoumaKourin
HealingPlanet,MomoyamaHaikagura,HaruichibanNoFukukoro,BakuretsuKungFuGirl
HeiseiJimen,ShimatteIkouze_vol26,Akuhamu,GarakutayaManta
HighschoolKimengumi_vol01,BokuHaSitatakaKun,OL_Lunch,UchuKigekiM774
HighschoolKimengumi_vol20,Akuhamu,ShimatteIkouze_vol26,NichijouSoup
HinagikuKenzan,YukiNoFuruMachi,Nekodama,WarewareHaOniDearu
HisokaReturns,TennenSenshiG,KuroidoGanka,Belmondo
JangiriPonpon,AisazuNihaIrarenai,MariaSamaNihaNaisyo,TsubasaNoKioku
JijiBabaFight,MutekiBoukenSyakuma,TapkunNoTanteisitsu,AppareKappore
Joouari,EienNoWith,TotteokiNoABC,KarappoHighschool
Jyovolley,UltraEleven,HarukaRefrain,Hamlet
KarappoHighschool,EienNoWith,TotteokiNoABC,Joouari
KimiHaBokuNoTaiyouDa,LancelotFullThrottle,PsychoStaff,TotteokiNoABC
KoukouNoHitotachi,MoeruOnisan_vol19,UchuKigekiM774,BokuHaSitatakaKun
KuroidoGanka,Belmondo,LoveHina_vol14,TennenSenshiG
KyokugenCyclone,ParaisoRoad,RinToSiteSippuNoNaka,KarappoHighschool
LancelotFullThrottle,KimiHaBokuNoTaiyouDa,PsychoStaff,TotteokiNoABC
LoveHina_vol01,TasogareTsushin,SyabondamaKieta,YasasiiAkuma
LoveHina_vol14,Belmondo,KuroidoGanka,TennenSenshiG
MadouTaiga,YumeiroCooking,Arisa,OhWareraRettouSeitokai
MAD_STONE,MomoyamaHaikagura,PrismHeart,HealingPlanet
MagicianLoad,YoumaKourin,GinNoChimera,Hamlet
MagicStarGakuin,PlatinumJungle,MemorySeijin,TaiyouNiSmash
MariaSamaNihaNaisyo,AisazuNihaIrarenai,TsubasaNoKioku,JangiriPonpon
MayaNoAkaiKutsu,DualJustice,TensiNoHaneToAkumaNoShippo,GOOD_KISS_Ver2
MemorySeijin,PlatinumJungle,MagicStarGakuin,TaiyouNiSmash
MeteoSanStrikeDesu,HaruichibanNoFukukoro,BakuretsuKungFuGirl,HealingPlanet
MiraiSan,MutekiBoukenSyakuma,JijiBabaFight,MoeruOnisan_vol01
MisutenaideDaisy,BEMADER_P,SeisinkiVulnus,RisingGirl
MoeruOnisan_vol01,ReveryEarth,ShimatteIkouze_vol01,MiraiSan
MoeruOnisan_vol19,KoukouNoHitotachi,UchuKigekiM774,BokuHaSitatakaKun
MomoyamaHaikagura,MAD_STONE,HealingPlanet,PrismHeart
MukoukizuNoChonbo,AkkeraKanjinchou,DollGun,Count3DeKimeteAgeru
MutekiBoukenSyakuma,JijiBabaFight,MiraiSan,AppareKappore
Nekodama,YukiNoFuruMachi,WarewareHaOniDearu,HinagikuKenzan
NichijouSoup,YouchienBoueigumi,EverydayOsakanaChan,HighschoolKimengumi_vol20
Ningyoushi,PrayerHaNemurenai,GOOD_KISS_Ver2,MagicStarGakuin
OhWareraRettouSeitokai,YumeiroCooking,Arisa,MadouTaiga
OL_Lunch,EverydayOsakanaChan,YouchienBoueigumi,NichijouSoup
ParaisoRoad,KyokugenCyclone,LoveHina_vol14,Belmondo
PikaruGenkiDesu,SyabondamaKieta,SaladDays_vol01,TasogareTsushin
PLANET7,MukoukizuNoChonbo,OhWareraRettouSeitokai,YumeiroCooking
PlatinumJungle,MagicStarGakuin,MemorySeijin,TaiyouNiSmash
PrayerHaNemurenai,Ningyoushi,MagicStarGakuin,GOOD_KISS_Ver2
PrismHeart,YumeNoKayoiji,MAD_STONE,Donburakokko
PsychoStaff,KimiHaBokuNoTaiyouDa,HanzaiKousyouninMinegishiEitarou,LancelotFullThrottle
Raphael,GakuenNoise,UnbalanceTokyo,MisutenaideDaisy
ReveryEarth,MoeruOnisan_vol01,ShimatteIkouze_vol01,BurariTessenTorimonocho
RinToSiteSippuNoNaka,EienNoWith,KarappoHighschool,Joouari
RisingGirl,BurariTessenTorimonocho,BEMADER_P,SeisinkiVulnus
Saisoku,Donburakokko,YumeNoKayoiji,HinagikuKenzan
SaladDays_vol01,PikaruGenkiDesu,SyabondamaKieta,TaiyouNiSmash
SaladDays_vol18,MeteoSanStrikeDesu,HaruichibanNoFukukoro,BakuretsuKungFuGirl
SamayoeruSyonenNiJunaiWo,TouyouKidan,GarakutayaManta,TapkunNoTanteisitsu
SeisinkiVulnus,BEMADER_P,MisutenaideDaisy,RisingGirl
ShimatteIkouze_vol01,BurariTessenTorimonocho,ReveryEarth,MoeruOnisan_vol01
ShimatteIkouze_vol26,Akuhamu,HighschoolKimengumi_vol20,HeiseiJimen
SonokiDeABC,ByebyeC-BOY,WarewareHaOniDearu,TensiNoHaneToAkumaNoShippo
SyabondamaKieta,PikaruGenkiDesu,TasogareTsushin,SaladDays_vol01
TaiyouNiSmash,SaladDays_vol01,SyabondamaKieta,PikaruGenkiDesu
TapkunNoTanteisitsu,AppareKappore,TouyouKidan,JijiBabaFight
TasogareTsushin,SyabondamaKieta,LoveHina_vol01,PikaruGenkiDesu
TennenSenshiG,Belmondo,KuroidoGanka,HisokaReturns
TensiNoHaneToAkumaNoShippo,ByebyeC-BOY,SonokiDeABC,DualJustice
TetsuSan,KoukouNoHitotachi,MoeruOnisan_vol19,UchuKigekiM774
That'sIzumiko,PLANET7,MadouTaiga,YumeiroCooking
TotteokiNoABC,EienNoWith,KarappoHighschool,Joouari
ToutaMairimasu,HanzaiKousyouninMinegishiEitarou,MadouTaiga,Arisa
TouyouKidan,TapkunNoTanteisitsu,AppareKappore,GarakutayaManta
TsubasaNoKioku,MariaSamaNihaNaisyo,AisazuNihaIrarenai,UchiNoNyan'sDiary
UchiNoNyan'sDiary,TsubasaNoKioku,MariaSamaNihaNaisyo,EvaLady
UchuKigekiM774,BokuHaSitatakaKun,MoeruOnisan_vol19,HighschoolKimengumi_vol01
UltraEleven,HarukaRefrain,Hamlet,Jyovolley
UnbalanceTokyo,GakuenNoise,Raphael,MisutenaideDaisy
WarewareHaOniDearu,SonokiDeABC,YukiNoFuruMachi,Nekodama
YamatoNoHane,Nekodama,ByebyeC-BOY,WarewareHaOniDearu
YasasiiAkuma,LoveHina_vol01,Count3DeKimeteAgeru,DollGun
YouchienBoueigumi,EverydayOsakanaChan,NichijouSoup,HighschoolKimengumi_vol20
YoumaKourin,Hamlet,MagicianLoad,HarukaRefrain
YukiNoFuruMachi,Nekodama,HinagikuKenzan,WarewareHaOniDearu
YumeiroCooking,Arisa,OhWareraRettouSeitokai,MadouTaiga
YumeNoKayoiji,Donburakokko,Saisoku,PrismHeart
