Manga,Prediction 1,Prediction 2,Prediction 3
AisazuNihaIrarenai,TotteokiNoABC,BEMADER_P,GarakutayaManta
AkkeraKanjinchou,MadouTaiga,DualJustice,UchuKigekiM774
Akuhamu,JijiBabaFight,HeiseiJimen,YouchienBoueigumi
AosugiruHaru,EvaLady,ARMS,MayaNoAkaiKutsu
AppareKappore,DollGun,AisazuNihaIrarenai,BakuretsuKungFuGirl
Arisa,SyabondamaKieta,LoveHina_vol01,TotteokiNoABC
ARMS,MemorySeijin,EvaLady,AosugiruHaru
BakuretsuKungFuGirl,HighschoolKimengumi_vol20,Donburakokko,Ningyoushi
Belmondo,UchiNoNyan'sDiary,YukiNoFuruMachi,BurariTessenTorimonocho
BEMADER_P,TensiNoHaneToAkumaNoShippo,HaruichibanNoFukukoro,GOOD_KISS_Ver2
BokuHaSitatakaKun,HighschoolKimengumi_vol20,YasasiiAkuma,TouyouKidan
BurariTessenTorimonocho,NichijouSoup,UnbalanceTokyo,ReveryEarth
ByebyeC-BOY,KimiHaBokuNoTaiyouDa,MukoukizuNoChonbo,RinToSiteSippuNoNaka
Count3DeKimeteAgeru,Ningyoushi,KarappoHighschool,HealingPlanet
DollGun,Arisa,BakuretsuKungFuGirl,AppareKappore
Donburakokko,HaruichibanNoFukukoro,PrismHeart,YamatoNoHane
DualJustice,ParaisoRoad,YamatoNoHane,HinagikuKenzan
EienNoWith,MutekiBoukenSyakuma,GakuenNoise,Joouari
EvaLady,RisingGirl,Joouari,AosugiruHaru
EverydayOsakanaChan,ParaisoRoad,TennenSenshiG,AisazuNihaIrarenai
GakuenNoise,RisingGirl,TasogareTsushin,Joouari
GarakutayaManta,HinagikuKenzan,HarukaRefrain,DualJustice
GinNoChimera,ByebyeC-BOY,TensiNoHaneToAkumaNoShippo,RinToSiteSippuNoNaka
GOOD_KISS_Ver2,HighschoolKimengumi_vol01,NichijouSoup,UchiNoNyan'sDiary
Hamlet,MemorySeijin,LoveHina_vol14,GOOD_KISS_Ver2
HanzaiKousyouninMinegishiEitarou,KimiHaBokuNoTaiyouDa,YouchienBoueigumi,GOOD_KISS_Ver2
HaruichibanNoFukukoro,SamayoeruSyonenNiJunaiWo,ByebyeC-BOY,MeteoSanStrikeDesu
HarukaRefrain,MoeruOnisan_vol01,HisokaReturns,LancelotFullThrottle
HealingPlanet,MutekiBoukenSyakuma,Joouari,That'sIzumiko
HeiseiJimen,BakuretsuKungFuGirl,MayaNoAkaiKutsu,AisazuNihaIrarenai
HighschoolKimengumi_vol01,LancelotFullThrottle,Nekodama,HanzaiKousyouninMinegishiEitarou
HighschoolKimengumi_vol20,YumeiroCooking,UltraEleven,BokuHaSitatakaKun
HinagikuKenzan,DualJustice,YamatoNoHane,AkkeraKanjinchou
HisokaReturns,TouyouKidan,NichijouSoup,ToutaMairimasu
JangiriPonpon,DualJustice,HeiseiJimen,YoumaKourin
JijiBabaFight,Akuhamu,BakuretsuKungFuGirl,TetsuSan
Joouari,GakuenNoise,TasogareTsushin,UchuKigekiM774
Jyovolley,Donburakokko,BakuretsuKungFuGirl,HaruichibanNoFukukoro
KarappoHighschool,YukiNoFuruMachi,ShimatteIkouze_vol26,MomoyamaHaikagura
KimiHaBokuNoTaiyouDa,Hamlet,NichijouSoup,HighschoolKimengumi_vol01
KoukouNoHitotachi,UchuKigekiM774,MutekiBoukenSyakuma,Raphael
KuroidoGanka,YukiNoFuruMachi,NichijouSoup,MeteoSanStrikeDesu
KyokugenCyclone,Jyovolley,TensiNoHaneToAkumaNoShippo,PrayerHaNemurenai
LancelotFullThrottle,HighschoolKimengumi_vol01,GOOD_KISS_Ver2,KimiHaBokuNoTaiyouDa
LoveHina_vol01,WarewareHaOniDearu,Saisoku,TsubasaNoKioku
LoveHina_vol14,HanzaiKousyouninMinegishiEitarou,SeisinkiVulnus,KimiHaBokuNoTaiyouDa
MadouTaiga,AkkeraKanjinchou,DualJustice,MeteoSanStrikeDesu
