Manga,Prediction 1,Prediction 2,Prediction 3
AisazuNihaIrarenai,BokuHaSitatakaKun,ShimatteIkouze_vol01,MoeruOnisan_vol01
AkkeraKanjinchou,BokuHaSitatakaKun,ShimatteIkouze_vol01,MoeruOnisan_vol19
Akuhamu,BokuHaSitatakaKun,MoeruOnisan_vol19,MoeruOnisan_vol01
AosugiruHaru,ARMS,MayaNoAkaiKutsu,EvaLady
AppareKappore,BokuHaSitatakaKun,OL_Lunch,MoeruOnisan_vol01
Arisa,BokuHaSitatakaKun,OL_Lunch,MoeruOnisan_vol01
ARMS,AosugiruHaru,MayaNoAkaiKutsu,EvaLady
BakuretsuKungFuGirl,BokuHaSitatakaKun,TetsuSan,MoeruOnisan_vol01
Belmondo,BokuHaSitatakaKun,OL_Lunch,MoeruOnisan_vol01
BEMADER_P,Raphael,HanzaiKousyouninMinegishiEitarou,GakuenNoise
BokuHaSitatakaKun,YouchienBoueigumi,AppareKappore,ShimatteIkouze_vol01
BurariTessenTorimonocho,YouchienBoueigumi,MoeruOnisan_vol01,TetsuSan
ByebyeC-BOY,EienNoWith,Joouari,MutekiBoukenSyakuma
Count3DeKimeteAgeru,YouchienBoueigumi,JijiBabaFight,UltraEleven
DollGun,YouchienBoueigumi,MoeruOnisan_vol01,TetsuSan
Donburakokko,SaladDays_vol18,TasogareTsushin,PlatinumJungle
DualJustice,YouchienBoueigumi,AppareKappore,HighschoolKimengumi_vol20
EienNoWith,PsychoStaff,SaladDays_vol18,PlatinumJungle
EvaLady,AosugiruHaru,ARMS,MayaNoAkaiKutsu
EverydayOsakanaChan,ShimatteIkouze_vol01,MoeruOnisan_vol01,BokuHaSitatakaKun
GakuenNoise,SaladDays_vol18,PsychoStaff,SeisinkiVulnus
GarakutayaManta,HighschoolKimengumi_vol20,TetsuSan,MoeruOnisan_vol01
GinNoChimera,SaladDays_vol18,TasogareTsushin,EienNoWith
GOOD_KISS_Ver2,Raphael,TasogareTsushin,NichijouSoup
Hamlet,SaladDays_vol18,PsychoStaff,Nekodama
HanzaiKousyouninMinegishiEitarou,TasogareTsushin,PsychoStaff,PlatinumJungle
HaruichibanNoFukukoro,TasogareTsushin,SeisinkiVulnus,SaladDays_vol18
HarukaRefrain,TensiNoHaneToAkumaNoShippo,NichijouSoup,LancelotFullThrottle
HealingPlanet,AosugiruHaru,MayaNoAkaiKutsu,EvaLady
HeiseiJimen,MariaSamaNihaNaisyo,MoeruOnisan_vol19,BokuHaSitatakaKun
HighschoolKimengumi_vol01,SaladDays_vol18,TasogareTsushin,Raphael
HighschoolKimengumi_vol20,MariaSamaNihaNaisyo,EverydayOsakanaChan,MoeruOnisan_vol19
HinagikuKenzan,MariaSamaNihaNaisyo,HighschoolKimengumi_vol20,MoeruOnisan_vol19
HisokaReturns,GOOD_KISS_Ver2,KoukouNoHitotachi,YumeNoKayoiji
JangiriPonpon,Jyovolley,LancelotFullThrottle,UchuKigekiM774
JijiBabaFight,MariaSamaNihaNaisyo,MoeruOnisan_vol19,BokuHaSitatakaKun
Joouari,PrismHeart,MemorySeijin,PlatinumJungle
Jyovolley,UchuKigekiM774,JangiriPonpon,GOOD_KISS_Ver2
KarappoHighschool,MariaSamaNihaNaisyo,HighschoolKimengumi_vol20,MoeruOnisan_vol19
KimiHaBokuNoTaiyouDa,Joouari,SaladDays_vol18,EienNoWith
KoukouNoHitotachi,SeisinkiVulnus,MutekiBoukenSyakuma,UchuKigekiM774
KuroidoGanka,UchuKigekiM774,JangiriPonpon,MAD_STONE
KyokugenCyclone,Raphael,KoukouNoHitotachi,JangiriPonpon
LancelotFullThrottle,Joouari,TasogareTsushin,EienNoWith
