Manga,Prediction 1,Prediction 2,Prediction 3
AisazuNihaIrarenai,HarukaRefrain,Belmondo,YouchienBoueigumi
AkkeraKanjinchou,YukiNoFuruMachi,MadouTaiga,ReveryEarth
Akuhamu,LancelotFullThrottle,LoveHina_vol14,Jyovolley
AosugiruHaru,PsychoStaff,MutekiBoukenSyakuma,Nekodama
AppareKappore,OhWareraRettouSeitokai,MoeruOnisan_vol01,HighschoolKimengumi_vol20
Arisa,MadouTaiga,LoveHina_vol01,MagicianLoad
ARMS,MemorySeijin,HarukaRefrain,PrismHeart
BakuretsuKungFuGirl,That'sIzumiko,MariaSamaNihaNaisyo,SonokiDeABC
Belmondo,MadouTaiga,ToutaMairimasu,RinToSiteSippuNoNaka
BEMADER_P,MadouTaiga,LoveHina_vol01,MayaNoAkaiKutsu
BokuHaSitatakaKun,PrayerHaNemurenai,AisazuNihaIrarenai,PLANET7
BurariTessenTorimonocho,OhWareraRettouSeitokai,MariaSamaNihaNaisyo,ParaisoRoad
ByebyeC-BOY,MadouTaiga,HealingPlanet,That'sIzumiko
Count3DeKimeteAgeru,MadouTaiga,YamatoNoHane,MemorySeijin
DollGun,OhWareraRettouSeitokai,LoveHina_vol01,PsychoStaff
Donburakokko,MadouTaiga,MomoyamaHaikagura,ParaisoRoad
DualJustice,MadouTaiga,YumeNoKayoiji,MagicStarGakuin
EienNoWith,TetsuSan,TasogareTsushin,MemorySeijin
EvaLady,EverydayOsakanaChan,ARMS,AosugiruHaru
EverydayOsakanaChan,SeisinkiVulnus,BakuretsuKungFuGirl,UchuKigekiM774
GakuenNoise,HealingPlanet,MayaNoAkaiKutsu,HanzaiKousyouninMinegishiEitarou
GarakutayaManta,MadouTaiga,BakuretsuKungFuGirl,UltraEleven
GinNoChimera,MadouTaiga,PlatinumJungle,ByebyeC-BOY
GOOD_KISS_Ver2,HarukaRefrain,YouchienBoueigumi,GakuenNoise
Hamlet,PrismHeart,SonokiDeABC,ShimatteIkouze_vol01
HanzaiKousyouninMinegishiEitarou,HealingPlanet,TasogareTsushin,MariaSamaNihaNaisyo
HaruichibanNoFukukoro,MadouTaiga,LoveHina_vol01,That'sIzumiko
HarukaRefrain,JijiBabaFight,MoeruOnisan_vol19,MariaSamaNihaNaisyo
HealingPlanet,MemorySeijin,PlatinumJungle,HeiseiJimen
HeiseiJimen,ParaisoRoad,BokuHaSitatakaKun,HinagikuKenzan
