Manga,Prediction 1,Prediction 2,Prediction 3
AisazuNihaIrarenai,OL_Lunch,HarukaRefrain,HisokaReturns
AkkeraKanjinchou,HighschoolKimengumi_vol20,MadouTaiga,GakuenNoise
Akuhamu,ShimatteIkouze_vol01,YouchienBoueigumi,OL_Lunch
AosugiruHaru,EvaLady,ARMS,MayaNoAkaiKutsu
AppareKappore,EverydayOsakanaChan,TaiyouNiSmash,OL_Lunch
Arisa,TotteokiNoABC,SyabondamaKieta,ShimatteIkouze_vol01
ARMS,AosugiruHaru,Ningyoushi,PsychoStaff
BakuretsuKungFuGirl,HighschoolKimengumi_vol20,TouyouKidan,YouchienBoueigumi
Belmondo,SyabondamaKieta,LoveHina_vol01,MutekiBoukenSyakuma
BEMADER_P,YumeNoKayoiji,EienNoWith,HanzaiKousyouninMinegishiEitarou
BokuHaSitatakaKun,ToutaMairimasu,MagicianLoad,TaiyouNiSmash
BurariTessenTorimonocho,TsubasaNoKioku,UnbalanceTokyo,MariaSamaNihaNaisyo
ByebyeC-BOY,PrismHeart,HanzaiKousyouninMinegishiEitarou,HighschoolKimengumi_vol01
Count3DeKimeteAgeru,DollGun,ToutaMairimasu,ReveryEarth
DollGun,JangiriPonpon,PsychoStaff,TouyouKidan
Donburakokko,YukiNoFuruMachi,HaruichibanNoFukukoro,ARMS
DualJustice,TotteokiNoABC,TensiNoHaneToAkumaNoShippo,ToutaMairimasu
EienNoWith,LoveHina_vol14,YasasiiAkuma,Nekodama
EvaLady,AosugiruHaru,ARMS,MayaNoAkaiKutsu
EverydayOsakanaChan,ToutaMairimasu,AisazuNihaIrarenai,ReveryEarth
GakuenNoise,BEMADER_P,PrismHeart,HanzaiKousyouninMinegishiEitarou
GarakutayaManta,JijiBabaFight,OL_Lunch,TetsuSan
GinNoChimera,HinagikuKenzan,That'sIzumiko,SeisinkiVulnus
GOOD_KISS_Ver2,TasogareTsushin,RisingGirl,AosugiruHaru
Hamlet,DualJustice,LoveHina_vol14,Donburakokko
HanzaiKousyouninMinegishiEitarou,SeisinkiVulnus,Nekodama,MagicStarGakuin
HaruichibanNoFukukoro,PsychoStaff,That'sIzumiko,PrayerHaNemurenai
HarukaRefrain,ShimatteIkouze_vol01,HighschoolKimengumi_vol20,ToutaMairimasu
HealingPlanet,MayaNoAkaiKutsu,MemorySeijin,AosugiruHaru
HeiseiJimen,UltraEleven,LoveHina_vol01,PikaruGenkiDesu
HighschoolKimengumi_vol01,HealingPlanet,Hamlet,MemorySeijin
HighschoolKimengumi_vol20,TaiyouNiSmash,MoeruOnisan_vol01,OL_Lunch
HinagikuKenzan,TotteokiNoABC,MariaSamaNihaNaisyo,ARMS
HisokaReturns,TsubasaNoKioku,TaiyouNiSmash,BurariTessenTorimonocho
JangiriPonpon,HeiseiJimen,BakuretsuKungFuGirl,SyabondamaKieta
